productid,avg_rating
B002RD177S,5.0
B00347QARS,3.25
B001PDDEVS,5.0
B0009OAGT2,3.272727272727273
B000R8WIM8,4.5
B001D3Q124,3.3333333333333335
B00014DU6G,4.0
B000R961M0,3.0
B002PLO7KG,4.833333333333333
B000C1Z7S2,5.0
B000JYNGEY,5.0
B003156NMU,4.0
B000PERUGS,2.3333333333333335
B001SSPJG8,1.5
B001HBHLF8,4.6923076923076925
B0017R7TYK,4.666666666666667
B001AFIQAK,4.0
B002SJW5SQ,5.0
B000052ZBD,5.0
B002614T4Y,5.0
B002UPTP3Q,5.0
B0003009NK,3.642857142857143
B0030H2JZ4,5.0
B003156NFM,4.666666666666667
B000C1Z19M,4.7272727272727275
B0009YDO32,4.6
B000172R58,5.0
B0002Z8J1K,5.0
B000O58QAW,3.1818181818181817
B000Q2Y0QM,5.0
B0036W800G,3.75
B000VYWS6Y,5.0
B0032A1IAQ,4.333333333333333
B002H6SZS4,5.0
B0010SWHVG,4.0
B00280M12A,4.833333333333333
B000BARTW6,5.0
B0002Z8XDO,5.0
B000OE328O,5.0
B0015HKN3G,3.0
B001211LGI,5.0
B0019JF0Q0,5.0
B000NLS1MK,4.0
B001VEERLM,5.0
B000ZBW44Y,5.0
B002771T86,5.0
B000Q6MYG6,5.0
B001J9P9ZW,4.0
B00309U96S,5.0
B001KYWBEI,5.0
B000HZG1Z6,5.0
B00021DDCE,3.5
B000C21CLW,5.0
B000JIGM6O,5.0
B002HIL5DY,5.0
B001AY2AAI,3.0
B001US0EVQ,4.5
B002QDYKS2,4.0
B00004VBMM,5.0
B001P5R8RC,5.0
B0024JZMAI,2.5
9790794207,5.0
B000C1VWTA,5.0
B0021MLVA8,4.75
B003FBTYAI,3.0
B002A2PT7U,1.0
B000CR0J0M,5.0
B0022TISQU,3.5
B002K8MK0I,4.75
B001FSNFPS,4.0
B001U35D9E,5.0
B000U0E44I,2.0
B001AXIWGA,3.8
B001BQ05AW,5.0
B003H4TL7O,3.0
B000E7YK1O,1.5
B000FG8T3Y,5.0
B000WCSH7O,4.5
B002Q6PVPU,3.0
B001G7PLBY,4.75
B001413HHC,5.0
B000C1VSLM,2.5
B001V6OS50,5.0
B002K8W58K,4.181818181818182
B0013N9U86,4.5
B0031O5QF6,2.75
B002RL8IUE,2.0
B002C1JEPM,4.2
B001KYQ75M,5.0
B000VOLKK4,1.0
B002VA4FXU,4.8
B00022WA8Q,3.4
B000C214D8,5.0
B002QANC2A,4.096774193548387
B002T75WAK,5.0
B003H1HCIM,4.0
8329000710,5.0
B001LYIBA0,4.0
B001UO227Y,5.0
B0037MHSE4,4.0
B001A9GTVE,3.5
B000TNQVJC,5.0
B000052YQN,3.857142857142857
B000KOKDQW,5.0
B002TYBGUS,4.75
B000HLRP7S,4.166666666666667
B000Z4NDLO,3.8
B001E720DI,5.0
B0013LD2BO,5.0
B001BFRMM2,2.75
B000OQ8W9G,5.0
B002VECJ5W,5.0
B003A84DIY,4.0
B0000534VO,4.222222222222222
B000O03DWS,5.0
B001E121RE,4.8
B000H8C8K0,4.0
B00099Z2OQ,3.7777777777777777
B001ELTPUU,3.6363636363636362
B0029F2WAU,5.0
B000C1VYC0,3.0
B000ZV7VTC,5.0
B0009ION2E,5.0
B000TTP9Y4,5.0
B002RL8IYA,4.0
B000NPNPZ4,5.0
B003AYAY9K,3.6666666666666665
B000C1UB2O,3.0
B001ET77SE,5.0
B000B5NEMU,4.545454545454546
B000TD4QYY,5.0
B000URVDIQ,4.0
B0007CXXGO,4.666666666666667
B000H858D4,5.0
B001ET783I,5.0
B000N0OSAK,4.0
B002L6PXNA,4.5
B000Q1VB9M,3.0
B0027KUGLY,1.0
B000I7ZH4O,5.0
B001PTFY2O,3.3333333333333335
B0036UMM0M,5.0
B002Z7FSJ4,4.0
B00290G0LW,5.0
B001E115TO,5.0
B001GEDO7K,3.5
B001S48HLG,3.75
B001FB5IFU,5.0
B001COV78C,1.0
B000C238QE,5.0
B001MWY0V0,5.0
B000VHAA84,4.0
B0019FH058,1.0
B00375L8RO,5.0
B0016PW95C,5.0
B00243FKSI,5.0
B00169DHNQ,4.666666666666667
B001CS6BIY,3.2857142857142856
B001G0UC1A,4.5
B0013OFRUK,4.40625
B00347FTXE,4.0
B00005CDRY,4.090909090909091
B00012C0IC,5.0
B0026I2WNW,4.5
B002T71IL2,3.066666666666667
B0000YV6YK,2.4
B000R4P8JW,5.0
B001ET73T2,4.5
B001U3ORBE,3.0
B000IOBEZS,4.4
B000RY6ZXU,3.2857142857142856
B001IAR77A,5.0
B0007ZRQUA,5.0
B000PQDKU6,4.428571428571429
B000U0XGME,4.3
B002ZNSZ70,2.0
B000GISWUQ,3.0
B0032GZ59A,5.0
B000B86LY0,5.0
B002MUKHQS,1.0
B000H3I3Y0,5.0
B001MA5VUQ,4.555555555555555
B00005CDSL,2.0
B000NWA12M,1.6666666666666667
B000XE8BP4,5.0
B002XHJI9W,3.1666666666666665
B000J0DP6M,5.0
B001E96MMQ,4.5
B0014AAQCC,4.428571428571429
B00012NK4A,5.0
B000EMDK4M,4.6
B000VEWF2Q,3.75
B000AQG030,3.6666666666666665
B001ET7KC2,5.0
B001HITK46,4.0
B000JWO8AW,3.4285714285714284
B002XPRT72,4.428571428571429
B002QA1VDW,4.157894736842105
B002SPV7D4,3.0
B003CGK7I4,4.0
B000Y8X0LE,5.0
B0013EAEQC,5.0
B000JL3OYE,4.5
B003B6LH2A,4.0
B002D48QVQ,4.0
B0037FT8WQ,5.0
B0010BEJ64,4.0
B000C21A82,4.5
B000PBM6AG,4.5
B00153D1F2,5.0
B001ET7KEA,5.0
B002AQ508Y,4.5
B0011DRXOG,4.25
B000OT0S2C,5.0
B000YPEZOI,5.0
B000GXGROY,4.333333333333333
B000FXY2X8,5.0
B002Z7FS4Y,5.0
B0036FTEIK,3.0
B001PAQHCO,5.0
B000A2RRHW,1.0
B000FTIYW2,5.0
B002Z7FUCE,5.0
B000U6CS4K,5.0
B000FP354S,4.666666666666667
B000R5DSP2,5.0
B000UW1QVU,3.0
B000C1ZBYC,4.5
B000I1RABS,5.0
B000Y4357C,3.2222222222222223
B00130LMFI,5.0
B000H3EPY2,4.285714285714286
B0002YFQ6W,4.666666666666667
B000KOM3JC,5.0
B000GFCRGO,3.6153846153846154
B003FXAB4O,3.0
B0017L4CVO,3.0833333333333335
B002FQKKBQ,3.586206896551724
B00016X3KC,4.0
B0034E702U,4.846153846153846
B000V2ZX4A,4.5
B0000DBNEX,4.666666666666667
B002SIEO9A,4.0
B00097AKEK,1.75
B000N97T16,2.0
B003FBMGKI,5.0
B001F51RH4,4.5
B00016WSHG,3.3333333333333335
B0027UUDFS,4.2727272727272725
B001ET7BDK,2.3333333333333335
B002HNF57Q,5.0
B000GRYX0A,1.0
B001OMI91U,5.0
B000GHVD44,4.0
B000Q30K4M,5.0
B001CT09W2,5.0
B0006OU078,4.466666666666667
B0009OAGXS,5.0
B000E7UDK6,4.5
B001F51V3E,3.6
B001FB5IAA,3.0
B000ULRBSI,4.0
B001G7PLZ0,4.666666666666667
B000NWAB0O,4.0
B001GF95JK,4.666666666666667
B000GRB3SA,4.8
B0016PAXA0,5.0
B000XE247K,5.0
B001G7PX1M,1.0
B001LFLV24,5.0
B002NGMEUS,5.0
B000E7YJWY,4.5
B0019TM2E8,4.0
B0007ZJD7E,5.0
B0019R0V5M,3.6666666666666665
B002MTBL8W,5.0
B002T3RH0W,5.0
B001IZYQ92,5.0
B002I9QSYI,4.0
B000VUXE2K,5.0
B000MSDP8O,1.0
B000B7M8CA,5.0
B000T50USI,1.0
B001AMTQN4,5.0
B001J61T7M,5.0
B000NZRWQ2,5.0
B000S83KRO,4.5
B002PA2LNC,4.333333333333333
B001TP0A8C,4.5
B002ZOU4SW,4.0
B001ET7EQY,3.3333333333333335
B000VW6X58,5.0
B0013OXGNU,4.5
B000H5HY7A,4.0
B0014LXXTY,5.0
B001B4SEY8,4.5
B001E4RZQS,5.0
B000C1Z1I8,5.0
B001MFLX26,3.0
B002DIXWMK,4.0
B001ET7KJ0,3.75
B000H3CPQ2,2.5
B000P20UCG,5.0
B0011FYB5I,3.0
B000G666QK,3.5
B00127U7QM,4.086956521739131
B0007IQMVG,3.8974358974358974
B00175XIRY,4.818181818181818
B003GDK6F2,3.736842105263158
B000VLH8W6,4.8125
B002787ACO,5.0
B000GHVIGM,4.333333333333333
B000TBZ8YS,4.25
B002A24DAE,5.0
B0014ZR3AK,5.0
B001OO2QNA,4.5
B002WTCD8O,5.0
B000N2MEV8,5.0
B000141YHI,3.3
B000GR5PK2,5.0
B0030ZRQQ8,4.222222222222222
B0019JAQPA,4.75
B002TKUBVC,3.0
B0001BNU5A,5.0
B001E8FCH8,4.0
B000TD5KR6,3.3333333333333335
B001SFJH4Q,4.333333333333333
B0013F8JXG,4.4
B001QOGXOG,4.5
B001UHN0FE,4.444444444444445
B000F6Y55A,3.5
B002R5XKHQ,5.0
B000VJHQDE,3.5
B0035LCSCO,5.0
B0036FTFAC,5.0
B002AMUGOQ,3.0
B0032JFR0O,3.0
B0032RMX3U,4.2
B0011DGH0C,4.8
B002TIMKKE,5.0
B000A3V2PE,3.0
B001E90F24,3.6666666666666665
B000052YKM,5.0
B00027D0F8,5.0
B0009R5B8A,4.428571428571429
B001XRZ0JK,4.0
B001AVY720,1.0
B000WIGPDQ,2.0
9788072100,5.0
B000C1Z1X8,5.0
B001QTZU90,2.0
B002VECJC0,2.0
B002T5NMGS,4.625
B0009EXQLM,4.0
B000CEOT6A,5.0
B00160MB6E,5.0
B0010ZB6Z2,5.0
B001BMLJU6,4.076923076923077
B000X25L40,5.0
B001T8AS7C,5.0
B001KYSARA,1.5
B0009Q3Q7O,5.0
B0010H40TO,5.0
B002HK2GOO,5.0
B001E5D0V6,4.333333333333333
B00355G1N2,4.4
B0001EL4M8,5.0
B000SASZ9K,4.75
B00005UFET,4.333333333333333
B002BFY4P4,3.0
B002TPO0W8,4.055555555555555
B000NSTZAU,4.0
B001KYVOJQ,4.230769230769231
B001O08CQY,3.727272727272727
B000VT3QPQ,4.3076923076923075
B00028MLG6,4.2
B000NSTX20,2.909090909090909
B002IVKXWE,4.0
B000V9PYHY,4.142857142857143
B000FLSBYG,2.0
B002RH7GCE,1.3333333333333333
B001BKTIE2,4.0
B001CL88QO,4.2
